route,stopid,progr_number,stop_name
13,110,10,Balcurris Gardens
123,1490,45,Ard Scoil Ris
29a,7551,7,Abbey Park
7b,2025,24,Abbey Park
7b,2053,31,Abbey Park
7d,2025,24,Abbey Park
7d,2053,31,Abbey Park
7b,2023,22,Abbey Road
7d,2023,22,Abbey Road
29a,289,1,Abbey St Lower
29a,291,46,Abbey St Lower
31,289,1,Abbey St Lower
31a,289,1,Abbey St Lower
31b,289,1,Abbey St Lower
32,289,1,Abbey St Lower
33,292,103,Abbey St Lower
130,7591,1,Abbey Street
31,559,47,Abbey Street Howth
31a,559,47,Abbey Street Howth
41,4957,53,Abbeyvale
41b,4957,53,Abbeyvale
41c,4957,53,Abbeyvale
41x,4957,53,Abbeyvale
40d,1577,23,Abbottstown Road
40d,1584,22,Abbottstown Road
40e,1577,23,Abbottstown Road
40e,1584,22,Abbottstown Road
41,3864,45,Abbylea Close
41b,3864,45,Abbylea Close
41x,3864,45,Abbylea Close
66,6160,12,Accommodation Road
66e,6160,12,Accommodation Road
66x,6160,12,Accommodation Road
11,43,10,Achill Road
25b,7117,37,Adamstown Avenue
25b,7120,2,Adamstown Avenue
25d,7117,37,Adamstown Avenue
25d,7120,2,Adamstown Avenue
25b,6289,39,Adamstown Station
25b,6290,1,Adamstown Station
25d,6289,39,Adamstown Station
25d,6290,1,Adamstown Station
27,4698,77,Adare Avenue
27x,4698,77,Adare Avenue
27,1255,14,Adare Park
27x,1255,14,Adare Park
27,4696,74,Adare Road
27x,4696,74,Adare Road
142,1015,36,Adelaide Road
44,1015,36,Adelaide Road
61,1015,36,Adelaide Road
757,1015,36,Adelaide Road
29a,917,4,Admiral Court
54a,2440,18,Aideen Avenue
9,2440,18,Aideen Avenue
47,2087,22,Ailesbury Road
47,4455,31,Ailesbury Road
15b,6298,6,Airpark Avenue
15b,6325,44,Airpark Avenue
33,3670,28,Airport Parking
33,3885,23,Airport Parking
41,3885,23,Airport Parking
41a,3885,23,Airport Parking
41b,3670,28,Airport Parking
41b,3885,23,Airport Parking
41c,3670,28,Airport Parking
41c,3885,23,Airport Parking
33,3671,31,Airport Roundabout
41,3671,31,Airport Roundabout
41b,3671,31,Airport Roundabout
41c,3671,31,Airport Roundabout
33,3676,35,Airside
33,3695,18,Airside
41,3676,35,Airside
41,3695,18,Airside
41a,3695,18,Airside
41b,3676,35,Airside
41b,3695,18,Airside
