model,mae,avg_journey_time,error_rate,scores
route_1__.pkl,-164.1494979,1396.285798,11.75615323,[-205.24208909 -146.6324944  -147.32707448 -149.19817897 -172.34765243]
route_4__.pkl,-235.3668796,2173.170826,10.83057424,[-250.78493616 -219.15174995 -218.84636002 -213.2088363  -274.84251541]
route_7__.pkl,-217.445735,1892.450078,11.4901702,[-225.24063195 -205.11293898 -209.74684306 -204.70397835 -242.42428273]
route_9__.pkl,-230.9789463,2201.332312,10.49268868,[-265.30777615 -217.6485868  -215.16407413 -209.14478026 -247.62951437]
route_11__.pkl,-212.4324257,1935.366575,10.97634053,[-237.59154227 -195.01682376 -195.4571536  -193.50794661 -240.58866208]
route_13__.pkl,-314.1474481,3111.198674,10.09731235,[-353.53440041 -306.821232   -281.81989282 -295.54206656 -333.01964879]
route_14__.pkl,-218.8930114,2296.646866,9.53098252,[-228.85117648 -208.42436208 -205.93522178 -215.96159313 -235.29270331]
route_15__.pkl,-233.900042,2362.575634,9.900213927,[-265.10036155 -223.74578405 -221.12709089 -215.53238962 -243.99458382]
route_16__.pkl,-268.2172129,2536.116815,10.57590137,[-300.83311134 -255.16316732 -254.62332673 -250.27235778 -280.19410111]
route_17__.pkl,-266.6232018,1935.563441,13.77496579,[-270.33242352 -262.82991646 -213.245505   -254.320449   -332.38771499]
route_18__.pkl,-223.8291582,1813.681774,12.34114835,[-264.37485009 -211.66998102 -180.47375023 -196.28813014 -266.33907969]
route_25__.pkl,-151.183368,1321.076186,11.44395528,[-156.16769672 -146.20536617 -148.72454865 -142.52698719 -162.29224105]
route_26__.pkl,-145.8728012,1017.361603,14.3383435,[-155.82037809 -139.1013479  -133.75233926 -136.93891964 -163.75102135]
route_27__.pkl,-277.064634,2784.596109,9.949903798,[-304.47019603 -264.82367751 -262.06882586 -268.59234378 -285.36812692]
route_31__.pkl,-163.9134298,1333.406088,12.29283646,[-167.76523915 -170.69027198 -170.15284587 -152.30159464 -158.65719715]
route_32__.pkl,-168.6144105,1428.235117,11.80578803,[-172.09647216 -176.91686177 -172.46056354 -161.63587981 -159.96227545]
route_33__.pkl,-255.0417337,2705.188219,9.427873885,[-259.14344501 -241.0738643  -248.93992531 -250.33773329 -275.71370048]
route_37__.pkl,-215.3803001,2007.655735,10.72794984,[-225.30359375 -212.57432233 -202.16963026 -199.06449184 -237.78946223]
route_38__.pkl,-219.2865788,2155.829874,10.17179424,[-235.31212336 -205.49752361 -208.99865406 -200.18979758 -246.4347956 ]
route_39__.pkl,-236.2797198,2395.442165,9.863720496,[-251.03292257 -227.95816042 -218.35462512 -221.2324776  -262.82041317]
route_40__.pkl,-265.745029,2762.617953,9.619318832,[-292.33735251 -254.07952921 -247.360295   -254.21665623 -280.73131197]
route_41__.pkl,-214.2823137,1745.105507,12.27904633,[-227.04053725 -210.91486273 -211.2790217  -210.25194594 -211.92520065]
route_42__.pkl,-180.8397097,1574.73499,11.4838186,[-185.33831306 -181.76650249 -179.02295055 -173.53665783 -184.53412457]
route_43__.pkl,-165.5287225,1491.387191,11.09897708,[-168.84078859 -160.70465811 -155.38867708 -166.88061347 -175.82887515]
route_44__.pkl,-218.3782878,2512.04624,8.693243156,[-227.65036983 -202.67673623 -201.29892958 -206.61006475 -253.65533871]
route_47__.pkl,-186.2271123,1605.127243,11.60201555,[-185.9534851  -179.50427257 -161.51459438 -188.46763937 -215.69557013]
route_49__.pkl,-197.3668686,1658.715586,11.898777,[-240.25718445 -198.36213598 -170.33960502 -174.97717782 -202.89823992]
route_53__.pkl,-107.0866708,758.3285546,14.12140821,[-103.87833153 -103.53151218  -98.97842681 -102.83897511 -126.20610826]
route_59__.pkl,-93.65759152,586.5261602,15.96818656,[-101.68011503  -92.81375426  -89.35959397  -91.89694825  -92.53754608]
route_61__.pkl,-207.7754416,1441.22848,14.4165512,[-262.41072667 -191.82847209 -158.1674885  -171.00632249 -255.46419844]
route_63__.pkl,-159.1330185,1293.793073,12.2997272,[-148.70766772 -161.72121453 -153.79535314 -163.77241946 -167.66843767]
route_65__.pkl,-184.2596149,2134.792151,8.631267207,[-220.59407149 -171.48388749 -161.81684593 -168.4634689  -198.93980063]
route_66__.pkl,-227.9855254,2109.226266,10.80896484,[-245.35165677 -223.46898205 -208.00819386 -210.80548697 -252.29330744]
route_67__.pkl,-211.8559493,2127.005617,9.960291013,[-240.96803975 -205.65616083 -191.53589052 -196.51928647 -224.60036877]
route_68__.pkl,-228.4683623,1933.269913,11.81771675,[-293.27509275 -214.73352466 -209.40575819 -182.27875197 -242.64868414]
route_69__.pkl,-192.395091,1813.09993,10.61138925,[-237.40335177 -185.68186138 -176.54797942 -172.72171803 -189.62054453]
route_70__.pkl,-211.1273174,2005.53007,10.52725763,[-241.03558123 -208.75054534 -188.69296538 -188.12780272 -229.02969227]
route_75__.pkl,-227.8479125,2356.843842,9.667501444,[-219.96747262 -240.32795717 -215.11245217 -220.96911351 -242.86256683]
route_76__.pkl,-170.7772009,1369.490776,12.47012422,[-186.00989212 -170.84678001 -152.64311288 -160.41086584 -183.97535383]
route_83__.pkl,-261.216944,2283.668458,11.43847931,[-275.17770088 -259.58988248 -240.75405509 -252.2864591  -278.27662259]
route_84__.pkl,-245.7110061,2458.956115,9.992492529,[-255.4468444  -258.32582838 -239.21614536 -241.61244198 -233.95377054]
route_102__.pkl,-166.8786255,1549.975188,10.76653528,[-165.63815345 -168.87616515 -177.70616555 -153.41148374 -168.76115941]
